lot,title,artist,medium,signage,size,sale_date,auction_house,auction_name
"28","Wandering Birds (Ducks), unframed","Murray Gill","Mixed media on paper","signed lower left","54.5 x 77 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"29","Study, Bali","Donald Stuart Leslie Friend","Ink on paper on board","signed and inscribed 'Bali' upper right","17 x 12 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"30","Lady in Blue, with Flowers; Lady in Pink (2)","Constantine Popov","Synthetic polymer paint on canvas","signed at left (side); signed at right (side)","35.5 x 25.5 cm each","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"31","Red Gums","Hans Heysen","Charcoal and chalk on paper","artwork title on verso  with David H. Heysen label","18.5 x 23.5 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"32","Sydney Harbour scenes (2)","Joseph Ambrose Frost","Original copper etching plates","within frames","10 x 16 cm; 10.5 x 16 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"33","Untitled - Seaside Scene","Portia Mary Bennett","Watercolour and chalk pastel on paper","signature faded lower left","51 x 45 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"34","Caretaker and His Daughter, Whipple Creek Bore; The Family (2)","George Russell (Russell) Drysdale","Etching on sterling silver plate","numbered 814/1000  dated July 1981 on verso  signed in image lower right; Numbered 250/1000  dated March 1982 on verso","12 x 18 cm each","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"35","A Piroque at the Peninsula (new Caledonia), 2008","Robert Litchfield (Bob) Juniper","Collage and oil on canvas","nyaania Creek (Robert and Patricia Juniper) label on verso","24.5 x 35 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"36","Sunflowers","John Blakeley","Oil on canvas","signed and dated '93' lower right","90 x 146 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"37","The Road to Bailingup, c.1933","Beatrice Dean Darbyshire","Etching","signed lower right","29 x 25.5 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"38","Great Expedition 1977","Leon Pericles","Linocut","numbered 3/6  signed and dated lower right  titled lower centre","79 x 49 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"39","Sunshine & Shadow. c1921-3","Archibald Bertram Webb","Colour Woodcut","signed lower right  numbered 17/50  titled lower edge","19 x 23.2 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"40","On the Beach","Helen Norton","Oil on a timber oar end","signed and dated '01'  both sides","84 x 20 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"41","A Creek in Flood","Henri Benedictus Van Raalte","Aquatint etching","titled lower margin  signed lower right  numbered 36/60","23 x 26.5 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"42","Salt Plain","Romola Clifton","Watercolour on paper","","31.5 x 41.5 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"43","Untitled- Still Life, 1964","Adrian George Feint","Oil on canvas","signed and dated 1964 lower right","50 x 40 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"44","Pastoral Landscape","Joseph Zbukvic","Watercolour and gouache on paper","signed and dated '88' lower right","35 x 54.5 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"45","Untitled - Nude Figures, 2007","Robert Litchfield (Bob) Juniper","Oil and synthetic polymer paint on canvas","","22 x 29.7 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"46","Untitled - Landscape","Allon Francis Cook","Oil on board","signed lower left","53 x 66.5 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"47","The Guardian","James Timothy Gleeson","Oil on board","signed lower right  framing label on verso with title","14.7 x 12.3 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"48","Crab Creek, 2006","Robert Litchfield (Bob) Juniper","Synthetic polymer paint and oil on canvas","signed lower left","24.5 x 30 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"49","Landscape with Ducks, 1998","Janey Emery","Gouache on paper","signed and dated '98' lower right","47 x 74 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"50","Untitled - Landscape, 1972","Robert Litchfield (Bob) Juniper","Mixed media on paper","laid down onto canvas  signed and dated lower left","39.7 x 29.3 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"51","In the Afternoon Sun, Tammin WA, c1990","Eddie Falk","Oil on canvas on board","signed lower left  titled verso","43 x 59 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"52","Untitled - Still Life with Sailing Boats, 1963","Adrian George Feint","Oil on board","signed and dated 1963 lower left","30 x 25 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"53","Old Shed & Horse Nannup","Beatrice Dean Darbyshire","Etching","signed lower right","17.5 x 24 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"54","Sunflowers and Protea","Diana Johnston","Oil on board","signed lower right","66 x 46 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"55","Nude Study","Simon Collins","Charcoal on paper","signed and dated '07' lower left","72 x 52 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"56","Untitled - Landscape, 1987","Heather Jones","Watercolour and gouache on paper","signed and dated lower right","44.5 x 62.5 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"57","Untitled - Wetland Landscape","Janey Emery","Gouache on paper","signed and dated '98' lower left corner","47 x 74 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"58","Bridge Over the Seine, Paris","Herman Pekel","Oil on board","signed lower left","29 x 39 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"59","Landscape, 1977","Leon Pericles","Oil on canvas","signed and dated lower right","51.5 x 64.5 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"60","Timeless Beauty 2007","Janey Emery","Oil on canvas","signed lower left","76 x 150 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"61","Floral Study on Bible","Kevin Charles (Pro) Hart","Oil on bible cover","signed lower right","12 x 7.5 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"62","A New Day, 2012","Janey Emery","Synthetic polymer paint on canvas","signed lower left  with Certificate of Authenticity","122 x 92 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"63","1330 The Vision of the Temple, 1982","Emanuel Raft","Mixed media on paper","signed and dated lower right","78 x 108.5 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"64","The Matador","William Allan Baker","Oil on board","","33.5 x 43.5 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"65","Stirling Range Scene","Robert Davis","Oil on Canvas","signed and dated '93'  lower right","152 x 152 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"66","Site Blaze Line","Timothy Austin (Tim) Storrier","Lithograph","signed lower right  numbered 75 /81 lower left","48 x 76.5 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"67","Untitled - Abstract","Bernard Hesling","Enamel on metal","","83 x 40.5 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"68","Diminishing Jungle","Leon Pericles","Mixed media","watercolour and offset printing  signed lower right  numbered  63/65","55 x 83 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"69","Young Footballers, 1956","Craig Alan Gough","Gouache on card","signed and dated lower left","35.5 x 48.5 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"70","Untitled","John Coburn","Colour screenprint","signed and dated '70' lower right  numbered 12/100","51.5 x 64.5 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"71","Sculptures (3)","George Nicolov Kosturkov","Alumnia","","bronze","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"72","Kelly 1980","Sidney Robert Nolan","Series 3 Serigraph","numbered 14/60  signed lower right","48.5 x 63.3 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"73","Emus, 1960","Guy Edward Grey-Smith","Serigraph  signed","dated and numbered 17/30 lower right  Edith Cowan University Art Collection label on verso","65 x 45 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"74","Somersault","Donald Stuart Leslie Friend","Mixed media on paper","signed lower right","78 x 56 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"75","Chesterton's Dairy; Maylands River Scene (Verso)","Florence Venables Hall","Watercolour on paper","","30 x 36.5 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"76","Still Life, Roses","William Boissevain","Oil on board","signed and dated lower right 1971","49 x 64 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"77","Mount Magnificent or Near Jim's Place; Untitled - (Likely Mount Magnificent) (2)","Thomas (Tom) Gleghorn","Egg tempera on board","inscribed [Barton Gallery  Melbourne  label verso with title and medium","44.5 x 29 cm each","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"78","Leviathan Lament","Leon Pericles","Etching","hand colouring and collage  numbered 52/99  signed lower right  titled lower centre","48 x 34 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"79","Wilson's Inlet, Denmark","Charles (Frank) Norton","Oil on board","signed and dated 'Jan 62' lower right","31.5 x 44 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"80","Canal Rocks","Cyril George Lander","Oil on board","signed lower left","44.5 x 59.6 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"81","Rottnest Scene","Greg Baker","Chalk pastel on paper","signed lower right","40 x 70 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"82","Spoonbills and Frogs, 2013","John Henry Olsen","Lithograph","Limited Edition Fine Art Edition and numbered 241/300  signed lower right corner","46 x 42.7 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"83","Landscape with Waterhole, 1973","Kevin Charles (Pro) Hart","Oil on board","signed lower right  dated lower left","90.3 x 121 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"84","Polar Incandescence","Asher Bilu","Resin and pigments on board","signed and titled verso","184 x 184 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"85","Two Figures","Percy Ivor Hunt","Ink on paper","signed lower left","34 x 28 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"86","The Saw Millers, 1973","Guy Edward Grey-Smith","Serigraph","signed  dated and numbered 10/22 lower right","47.2 x 52 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"87","Springtime 2007","Thelma Burke","Synthetic polymer paint on canvas","inscribed verso 'AK 14434'  with Certificate","76 x 105 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"88","Wandjina","Aboriginal Artist Unknown","Synthetic polymer paint on bark","inscribed verso PA622/WRYO","25.2 x 39.1 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"89","Wunda Shield","Aboriginal Artist Unknown","Ochres on wood","","78 x 10.1 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"90","Untitled","Marlee Naparrula","Synthetic polymer paint on canvas","inscribed Inkuntji Women's Centre on verso","41 x 76.5 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"91","Untitled - Two Goannas","Myra Lawson-Tjularta","Synthetic polymer paint on canvas","signed lower right","162 x 145 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"92","Marking Stones Under Platform in Tree Burial, 2006","Jack Dale Mengenen","Ochre and acrylic on canvas","inscribed with title  signed and dated verso  with diagram explaining the work","62 x 91 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"93","Untitled","Purlta Mary-Anne Downs","Synthetic polymer paint on canvas","inscribed verso 8h3/08  Mangkaja Arts Resource Agency","120 x 90 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"94","Central Australian Scene","Joshua Ebatarinja","Watercolour on paper","signed lower right","33.5 x 50 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"95","An Early La Grange Hardwood Shield, c1900","Aboriginal Artist Unknown","Wood with carvings","","11 x 77 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"96","Boomerangs, hook design decorated with natural ochres (2)","Aboriginal Artist Unknown","Hardwood","","72 cm; 73 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"97","Wunda Shield, c. early 20th century","Aboriginal Artist Unknown","Carved hardwood both sides","","80 x 13 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"98","Kaningarra, Near the Canning Stock Route","Susie Bootja Bootja Napaljarri","Synthetic polymer paint on canvas","inscribed verso: ?Warlayirti Artists 149/99?  with certificate","90 x 60 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"99","Ambulating #4","Lindsay Harris","Synthetic polymer paint on canvas","artwork title inscribed on verso","117 x 80 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"100","Wandjina","Aboriginal Artist Unknown","Synthetic polymer paint on bark","inscribed verso: PA 651/W3EE","39.2 x 25 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"101","Untitled","Watson Nyankulya","Acrylic on canvas","catalogue number inscribed verso  with AGWA loan label  2002 and Mossgreen Auction label","84 x 84 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"102","A Good Early, Central Australian, Fighting Boomerang","Aboriginal Artist Unknown","Carved wood","inscribed verso:","73 cm long","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"103","Untitled","Ronnie Tjampitjinpa","Synthetic polymer paint on canvas","inscribed verso: 'RT961240'  with certificate  - giving the picture?s story","91 x 61 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"104","European School Moroccan scenes C. 1920's","Schmidt","watercolour & gouache","both signed  lower left & lower right","31 x 42 cm each approx","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"105","A Small Beach, c1966","Bernard Buffet","Colour lithograph","signed within the image","34 x 52 cm (plate)","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"106","The Schwedagon Pagoda, Yangon, Myanmar","Maung Tun Hla","Watercolour on paper","","17 x 26 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"107","Untitled- Seaside Landscape","Pascal Lagesse","Oil on board","signed and dated '81' lower left","79.9 x 59.6 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"108","Untitled- Still Life","Max Moreau","Oil on canvas","signed lower right corner","88 x 70 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"109","Untitled (Abstract), c.1981","Vincenzo Balsamo","Oil on canvas","signed on verso","79.5 x 59.5 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"110","Three works after Rembrandt","Charles Armand Durand","Engravings","","Engravings","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"111","Lady with book","William Russell Flint","Red chalk","signed lower right","27 x 31 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"112","Untitled- Abstract Painting","Barbara Grace Burry","Oil on board","","92 x 85.2 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"113","Gravelinga, Gallis Gravelines Dicta, by J. Blaeu; Le Chateau De Rambouillet, by Antoine Aveline (2)","Artist Unknown","Antique copper plate engravings","","Antique copper plate engravings","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"114","Landscape, 1923","Erich Mayer","Oil on canvas","signed and dated lower right","21.5 x 29.5 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"115","Still Life- Lamp with Flowers, 1961","Vincenzo Balsamo","Oil on canvas","signed and dated lower right corner","99.5 x 49 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"116","Nymph with baby Deer","Jean Ary-Bitter","Bronze","signed within the cast","81 x 20 cm (bronze only)","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"117","Mysterious Architecture, c.1986","Vinzenzo Balsamo","Oil on board","artwork label and signature verso","60 x 99 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"53","Abandoned house, W.A. Goldfields","Desmond John Brennan","Watercolour","signed and dated 77  lower right","40 x 50 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"54","Mangroves and Birds","Brian Simmonds","Oil on canvas on board","signed lower left","33.5 x 24 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"55","Turquoise Wren, Malurus Callainus","John Gould","Original lithograph","","hand-coloured","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"56","Outback landscape with figures","Ray Austin Crooke","Oil on canvas on board","signed lower left","30 x 37 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"57","Self-Portrait, 1953","Harald Hansen Gallis Vike","Oil on canvas","signed and dated lower right","66 x 55.5 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"58","Yarambee, Bush Camp Auvergne Station, 1950","Elizabeth Durack","Xerox","watercolour  ink and pencil  signed upper right (hand-finished graphic)","28 x 20 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"59","Untitled, Country Scene, 1987","Elizabeth Blair Barber","Oil on board","signed and dated lower left","60 x 40 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"60","(i) Bradley Head, 38/90; (ii) 'Bounty 5/90 (2),","Joseph Ambrose Frost","Two original hand coloured etchings","both signed","9.7 x 15.8 cm; 6.3 x 4.5 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"61","Nude, Back Study","Katherine Munro (Kath) Jarvis","Oil on board","signed lower right","24 x 18.5 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"62","(i) Bradleys Head, Sydney Harbour. (ii) Matilda Bay, Nedlands. (2)","Joseph Ambrose Frost","original copper etching plates","","original copper etching plates","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"63","O'Connell Landscape, 1980","Lloyd Frederic Rees","hand-coloured lithograph Edition 12/80","signed and dated lower left","50 x 65 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"64","Augusta, 1963","Portia Mary Bennett","Pencil on paper","signed lower right  titled and dated lower left and titled verso","13 x 17 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"65","'Four Children and their dog in a meadow","Portia Mary Bennett","Watercolour on silk (most likely)","signed lower left (fan shaped)","31 x 48 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"66","Off to the Muster, 1983","Bruce Malloch","Oil on board","signed and dated lower right  titled verso","32 x 48 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"67","The Camp Fire, 1983","Bruce Malloch","Oil on board","signed and dated lower right","25 x 34.5 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"68","Light and Shade, Point Walter","D'hange Yammanee","Oil","signed lower left","19 x 44 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"69","Florie, Roebourne WA, 1963","Elizabeth Durack","Graphite on paper","signed lower left  titled and dated lower right","26.5 x 19 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"70","Mare and Foal Horses,","Fancios Jaggi","Bronze","","signed monogram to base","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"71","The Orcades, Fremantle Port","Frank E. Mills","Watercolour and pencil on paper","","signed lower left","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"72","Near Balingup","Fred Flood","Oil on board","inscribed verso [Fred Flood l Near Balingup l Mundaring Art Centre]","26.5 x 36 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"73","Unititled, Tree in Dappled Light","George Pitt Morison","Watercolour on paper","","16 x 23 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"74","Towards Pyramid River, Phillip Island","Harold Brocklebank Herbert","watercolour","signed and dated lower right 1928","48 x 56 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"75","Meeting","Michael Iwanoff","1976 Oil on canvas","signed  titled and dated verso","49 x 39 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"76","Cicada Song, 1986","Robert Litchfield (Bob) Juniper","Etching","edition 53/100  signed and dated lower right under image  titled lower centre","29.5 x 34 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"77","A Warm Summer's Day, Beverley WA, 1991","Eddie Falk","Oil on board","signed lower left  titled and dated verso","43.5 x 59 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"78","Redhill Farm Homestead, Benjaberring via Wyalkatchem, WA, c.1990","Eddie Falk","Oil on canvas on board","signed lower right  titled verso","44.5 x 59 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"79","View across the Swan River, the Colonial Sugar Refinery (Csr), Mosman Park","Kathleen Linton","Watercolour on paper","signed lower right","29 x 30 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"80","Chrysanthemum","Robert Henry (Bob) Dickerson","Lithograph","Edition 35/50 hand-coloured  signed lower right  titled lower centre","76 x 56 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
